Dataset,Description,Category,ID
25711,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),Weighted-mean ISOVF,1498
25723,Weighted-mean ISOVF in tract posterior thalamic radiation (left),Weighted-mean ISOVF,1499
25724,Weighted-mean ISOVF in tract posterior thalamic radiation (right),Weighted-mean ISOVF,1500
25725,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),Weighted-mean ISOVF,1501
25726,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),Weighted-mean ISOVF,1502
25727,Weighted-mean ISOVF in tract superior thalamic radiation (left),Weighted-mean ISOVF,1503
25728,Weighted-mean ISOVF in tract superior thalamic radiation (right),Weighted-mean ISOVF,1504
25729,Weighted-mean ISOVF in tract uncinate fasciculus (left),Weighted-mean ISOVF,1505
25730,Weighted-mean ISOVF in tract uncinate fasciculus (right),Weighted-mean ISOVF,1506
25569,Weighted-mean L1 in tract acoustic radiation (left),Weighted-mean L1,1507
25570,Weighted-mean L1 in tract acoustic radiation (right),Weighted-mean L1,1508
25571,Weighted-mean L1 in tract anterior thalamic radiation (left),Weighted-mean L1,1509
25572,Weighted-mean L1 in tract anterior thalamic radiation (right),Weighted-mean L1,1510
25573,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),Weighted-mean L1,1511
25574,Weighted-mean L1 in tract cingulate gyrus part of cingulum (right),Weighted-mean L1,1512
25577,Weighted-mean L1 in tract corticospinal tract (left),Weighted-mean L1,1513
25578,Weighted-mean L1 in tract corticospinal tract (right),Weighted-mean L1,1514
25579,Weighted-mean L1 in tract forceps major,Weighted-mean L1,1515
25580,Weighted-mean L1 in tract forceps minor,Weighted-mean L1,1516
25581,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),Weighted-mean L1,1517
25582,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right),Weighted-mean L1,1518
25583,Weighted-mean L1 in tract inferior longitudinal fasciculus (left),Weighted-mean L1,1519
25584,Weighted-mean L1 in tract inferior longitudinal fasciculus (right),Weighted-mean L1,1520
25586,Weighted-mean L1 in tract medial lemniscus (left),Weighted-mean L1,1521
25587,Weighted-mean L1 in tract medial lemniscus (right),Weighted-mean L1,1522
25585,Weighted-mean L1 in tract middle cerebellar peduncle,Weighted-mean L1,1523
25575,Weighted-mean L1 in tract parahippocampal part of cingulum (left),Weighted-mean L1,1524
25576,Weighted-mean L1 in tract parahippocampal part of cingulum (right),Weighted-mean L1,1525
25588,Weighted-mean L1 in tract posterior thalamic radiation (left),Weighted-mean L1,1526
25589,Weighted-mean L1 in tract posterior thalamic radiation (right),Weighted-mean L1,1527
25590,Weighted-mean L1 in tract superior longitudinal fasciculus (left),Weighted-mean L1,1528
25591,Weighted-mean L1 in tract superior longitudinal fasciculus (right),Weighted-mean L1,1529
25592,Weighted-mean L1 in tract superior thalamic radiation (left),Weighted-mean L1,1530
25593,Weighted-mean L1 in tract superior thalamic radiation (right),Weighted-mean L1,1531
25594,Weighted-mean L1 in tract uncinate fasciculus (left),Weighted-mean L1,1532
25595,Weighted-mean L1 in tract uncinate fasciculus (right),Weighted-mean L1,1533
25596,Weighted-mean L2 in tract acoustic radiation (left),Weighted-mean L2,1534
25597,Weighted-mean L2 in tract acoustic radiation (right),Weighted-mean L2,1535
25598,Weighted-mean L2 in tract anterior thalamic radiation (left),Weighted-mean L2,1536
25599,Weighted-mean L2 in tract anterior thalamic radiation (right),Weighted-mean L2,1537
25600,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),Weighted-mean L2,1538
25601,Weighted-mean L2 in tract cingulate gyrus part of cingulum (right),Weighted-mean L2,1539
25604,Weighted-mean L2 in tract corticospinal tract (left),Weighted-mean L2,1540
25605,Weighted-mean L2 in tract corticospinal tract (right),Weighted-mean L2,1541
25606,Weighted-mean L2 in tract forceps major,Weighted-mean L2,1542
25607,Weighted-mean L2 in tract forceps minor,Weighted-mean L2,1543
25608,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),Weighted-mean L2,1544
25609,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),Weighted-mean L2,1545
25610,Weighted-mean L2 in tract inferior longitudinal fasciculus (left),Weighted-mean L2,1546
25611,Weighted-mean L2 in tract inferior longitudinal fasciculus (right),Weighted-mean L2,1547
25613,Weighted-mean L2 in tract medial lemniscus (left),Weighted-mean L2,1548
25614,Weighted-mean L2 in tract medial lemniscus (right),Weighted-mean L2,1549
25612,Weighted-mean L2 in tract middle cerebellar peduncle,Weighted-mean L2,1550
25602,Weighted-mean L2 in tract parahippocampal part of cingulum (left),Weighted-mean L2,1551
