Dataset,Description,Category,ID
25389,Mean ICVF in uncinate fasciculus on FA skeleton (left),Mean ICVF,1763
25388,Mean ICVF in uncinate fasciculus on FA skeleton (right),Mean ICVF,1764
25463,Mean ISOVF in anterior corona radiata on FA skeleton (left),Mean ISOVF,1765
25462,Mean ISOVF in anterior corona radiata on FA skeleton (right),Mean ISOVF,1766
25457,Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),Mean ISOVF,1767
25456,Mean ISOVF in anterior limb of internal capsule on FA skeleton (right),Mean ISOVF,1768
25443,Mean ISOVF in body of corpus callosum on FA skeleton,Mean ISOVF,1769
25455,Mean ISOVF in cerebral peduncle on FA skeleton (left),Mean ISOVF,1770
25454,Mean ISOVF in cerebral peduncle on FA skeleton (right),Mean ISOVF,1771
25475,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left),Mean ISOVF,1772
25474,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right),Mean ISOVF,1773
25477,Mean ISOVF in cingulum hippocampus on FA skeleton (left),Mean ISOVF,1774
25476,Mean ISOVF in cingulum hippocampus on FA skeleton (right),Mean ISOVF,1775
25447,Mean ISOVF in corticospinal tract on FA skeleton (left),Mean ISOVF,1776
25446,Mean ISOVF in corticospinal tract on FA skeleton (right),Mean ISOVF,1777
25473,Mean ISOVF in external capsule on FA skeleton (left),Mean ISOVF,1778
25472,Mean ISOVF in external capsule on FA skeleton (right),Mean ISOVF,1779
25479,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left),Mean ISOVF,1780
25478,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right),Mean ISOVF,1781
25445,Mean ISOVF in fornix on FA skeleton,Mean ISOVF,1782
25442,Mean ISOVF in genu of corpus callosum on FA skeleton,Mean ISOVF,1783
25451,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left),Mean ISOVF,1784
25450,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right),Mean ISOVF,1785
25449,Mean ISOVF in medial lemniscus on FA skeleton (left),Mean ISOVF,1786
25448,Mean ISOVF in medial lemniscus on FA skeleton (right),Mean ISOVF,1787
25440,Mean ISOVF in middle cerebellar peduncle on FA skeleton,Mean ISOVF,1788
25441,Mean ISOVF in pontine crossing tract on FA skeleton,Mean ISOVF,1789
25467,Mean ISOVF in posterior corona radiata on FA skeleton (left),Mean ISOVF,1790
25466,Mean ISOVF in posterior corona radiata on FA skeleton (right),Mean ISOVF,1791
25459,Mean ISOVF in posterior limb of internal capsule on FA skeleton (left),Mean ISOVF,1792
25458,Mean ISOVF in posterior limb of internal capsule on FA skeleton (right),Mean ISOVF,1793
25469,Mean ISOVF in posterior thalamic radiation on FA skeleton (left),Mean ISOVF,1794
25468,Mean ISOVF in posterior thalamic radiation on FA skeleton (right),Mean ISOVF,1795
25461,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left),Mean ISOVF,1796
25460,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),Mean ISOVF,1797
25471,Mean ISOVF in sagittal stratum on FA skeleton (left),Mean ISOVF,1798
25470,Mean ISOVF in sagittal stratum on FA skeleton (right),Mean ISOVF,1799
25444,Mean ISOVF in splenium of corpus callosum on FA skeleton,Mean ISOVF,1800
25453,Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),Mean ISOVF,1801
25452,Mean ISOVF in superior cerebellar peduncle on FA skeleton (right),Mean ISOVF,1802
25465,Mean ISOVF in superior corona radiata on FA skeleton (left),Mean ISOVF,1803
25464,Mean ISOVF in superior corona radiata on FA skeleton (right),Mean ISOVF,1804
25483,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left),Mean ISOVF,1805
25482,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right),Mean ISOVF,1806
25481,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),Mean ISOVF,1807
25480,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right),Mean ISOVF,1808
25487,Mean ISOVF in tapetum on FA skeleton (left),Mean ISOVF,1809
25486,Mean ISOVF in tapetum on FA skeleton (right),Mean ISOVF,1810
25485,Mean ISOVF in uncinate fasciculus on FA skeleton (left),Mean ISOVF,1811
25484,Mean ISOVF in uncinate fasciculus on FA skeleton (right),Mean ISOVF,1812
25223,Mean L1 in anterior corona radiata on FA skeleton (left),Mean L1,1813
25222,Mean L1 in anterior corona radiata on FA skeleton (right),Mean L1,1814
25217,Mean L1 in anterior limb of internal capsule on FA skeleton (left),Mean L1,1815
25216,Mean L1 in anterior limb of internal capsule on FA skeleton (right),Mean L1,1816
25203,Mean L1 in body of corpus callosum on FA skeleton,Mean L1,1817
25215,Mean L1 in cerebral peduncle on FA skeleton (left),Mean L1,1818
25214,Mean L1 in cerebral peduncle on FA skeleton (right),Mean L1,1819
25235,Mean L1 in cingulum cingulate gyrus on FA skeleton (left),Mean L1,1820
25234,Mean L1 in cingulum cingulate gyrus on FA skeleton (right),Mean L1,1821
25237,Mean L1 in cingulum hippocampus on FA skeleton (left),Mean L1,1822
25236,Mean L1 in cingulum hippocampus on FA skeleton (right),Mean L1,1823
25207,Mean L1 in corticospinal tract on FA skeleton (left),Mean L1,1824
25206,Mean L1 in corticospinal tract on FA skeleton (right),Mean L1,1825
25233,Mean L1 in external capsule on FA skeleton (left),Mean L1,1826
25232,Mean L1 in external capsule on FA skeleton (right),Mean L1,1827
25239,Mean L1 in fornix cres+stria terminalis on FA skeleton (left),Mean L1,1828
25238,Mean L1 in fornix cres+stria terminalis on FA skeleton (right),Mean L1,1829
25205,Mean L1 in fornix on FA skeleton,Mean L1,1830
25202,Mean L1 in genu of corpus callosum on FA skeleton,Mean L1,1831
25211,Mean L1 in inferior cerebellar peduncle on FA skeleton (left),Mean L1,1832
25210,Mean L1 in inferior cerebellar peduncle on FA skeleton (right),Mean L1,1833
25209,Mean L1 in medial lemniscus on FA skeleton (left),Mean L1,1834
25208,Mean L1 in medial lemniscus on FA skeleton (right),Mean L1,1835
25200,Mean L1 in middle cerebellar peduncle on FA skeleton,Mean L1,1836
25201,Mean L1 in pontine crossing tract on FA skeleton,Mean L1,1837
25227,Mean L1 in posterior corona radiata on FA skeleton (left),Mean L1,1838
25226,Mean L1 in posterior corona radiata on FA skeleton (right),Mean L1,1839
25219,Mean L1 in posterior limb of internal capsule on FA skeleton (left),Mean L1,1840
25218,Mean L1 in posterior limb of internal capsule on FA skeleton (right),Mean L1,1841
25229,Mean L1 in posterior thalamic radiation on FA skeleton (left),Mean L1,1842
25228,Mean L1 in posterior thalamic radiation on FA skeleton (right),Mean L1,1843
25221,Mean L1 in retrolenticular part of internal capsule on FA skeleton (left),Mean L1,1844
25220,Mean L1 in retrolenticular part of internal capsule on FA skeleton (right),Mean L1,1845
25231,Mean L1 in sagittal stratum on FA skeleton (left),Mean L1,1846
25230,Mean L1 in sagittal stratum on FA skeleton (right),Mean L1,1847
25204,Mean L1 in splenium of corpus callosum on FA skeleton,Mean L1,1848
25213,Mean L1 in superior cerebellar peduncle on FA skeleton (left),Mean L1,1849
25212,Mean L1 in superior cerebellar peduncle on FA skeleton (right),Mean L1,1850
25225,Mean L1 in superior corona radiata on FA skeleton (left),Mean L1,1851
25224,Mean L1 in superior corona radiata on FA skeleton (right),Mean L1,1852
25243,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (left),Mean L1,1853
25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right),Mean L1,1854
25241,Mean L1 in superior longitudinal fasciculus on FA skeleton (left),Mean L1,1855
25240,Mean L1 in superior longitudinal fasciculus on FA skeleton (right),Mean L1,1856
25247,Mean L1 in tapetum on FA skeleton (left),Mean L1,1857
25246,Mean L1 in tapetum on FA skeleton (right),Mean L1,1858
25245,Mean L1 in uncinate fasciculus on FA skeleton (left),Mean L1,1859
25244,Mean L1 in uncinate fasciculus on FA skeleton (right),Mean L1,1860
25271,Mean L2 in anterior corona radiata on FA skeleton (left),Mean L2,1861
25270,Mean L2 in anterior corona radiata on FA skeleton (right),Mean L2,1862
25265,Mean L2 in anterior limb of internal capsule on FA skeleton (left),Mean L2,1863
25264,Mean L2 in anterior limb of internal capsule on FA skeleton (right),Mean L2,1864
25251,Mean L2 in body of corpus callosum on FA skeleton,Mean L2,1865
25263,Mean L2 in cerebral peduncle on FA skeleton (left),Mean L2,1866
25262,Mean L2 in cerebral peduncle on FA skeleton (right),Mean L2,1867
25283,Mean L2 in cingulum cingulate gyrus on FA skeleton (left),Mean L2,1868
25282,Mean L2 in cingulum cingulate gyrus on FA skeleton (right),Mean L2,1869
25285,Mean L2 in cingulum hippocampus on FA skeleton (left),Mean L2,1870
25284,Mean L2 in cingulum hippocampus on FA skeleton (right),Mean L2,1871
25255,Mean L2 in corticospinal tract on FA skeleton (left),Mean L2,1872
25254,Mean L2 in corticospinal tract on FA skeleton (right),Mean L2,1873
25281,Mean L2 in external capsule on FA skeleton (left),Mean L2,1874
25280,Mean L2 in external capsule on FA skeleton (right),Mean L2,1875
25287,Mean L2 in fornix cres+stria terminalis on FA skeleton (left),Mean L2,1876
25286,Mean L2 in fornix cres+stria terminalis on FA skeleton (right),Mean L2,1877
25253,Mean L2 in fornix on FA skeleton,Mean L2,1878
25250,Mean L2 in genu of corpus callosum on FA skeleton,Mean L2,1879
25259,Mean L2 in inferior cerebellar peduncle on FA skeleton (left),Mean L2,1880
25258,Mean L2 in inferior cerebellar peduncle on FA skeleton (right),Mean L2,1881
25257,Mean L2 in medial lemniscus on FA skeleton (left),Mean L2,1882
25256,Mean L2 in medial lemniscus on FA skeleton (right),Mean L2,1883
25248,Mean L2 in middle cerebellar peduncle on FA skeleton,Mean L2,1884
25249,Mean L2 in pontine crossing tract on FA skeleton,Mean L2,1885
25275,Mean L2 in posterior corona radiata on FA skeleton (left),Mean L2,1886
25274,Mean L2 in posterior corona radiata on FA skeleton (right),Mean L2,1887
25267,Mean L2 in posterior limb of internal capsule on FA skeleton (left),Mean L2,1888
25266,Mean L2 in posterior limb of internal capsule on FA skeleton (right),Mean L2,1889
25277,Mean L2 in posterior thalamic radiation on FA skeleton (left),Mean L2,1890
25276,Mean L2 in posterior thalamic radiation on FA skeleton (right),Mean L2,1891
25269,Mean L2 in retrolenticular part of internal capsule on FA skeleton (left),Mean L2,1892
25268,Mean L2 in retrolenticular part of internal capsule on FA skeleton (right),Mean L2,1893
25279,Mean L2 in sagittal stratum on FA skeleton (left),Mean L2,1894
25278,Mean L2 in sagittal stratum on FA skeleton (right),Mean L2,1895
25252,Mean L2 in splenium of corpus callosum on FA skeleton,Mean L2,1896
25261,Mean L2 in superior cerebellar peduncle on FA skeleton (left),Mean L2,1897
25260,Mean L2 in superior cerebellar peduncle on FA skeleton (right),Mean L2,1898
25273,Mean L2 in superior corona radiata on FA skeleton (left),Mean L2,1899
25272,Mean L2 in superior corona radiata on FA skeleton (right),Mean L2,1900
25291,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left),Mean L2,1901
25290,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right),Mean L2,1902
25289,Mean L2 in superior longitudinal fasciculus on FA skeleton (left),Mean L2,1903
25288,Mean L2 in superior longitudinal fasciculus on FA skeleton (right),Mean L2,1904
25295,Mean L2 in tapetum on FA skeleton (left),Mean L2,1905
25294,Mean L2 in tapetum on FA skeleton (right),Mean L2,1906
25293,Mean L2 in uncinate fasciculus on FA skeleton (left),Mean L2,1907
25292,Mean L2 in uncinate fasciculus on FA skeleton (right),Mean L2,1908
25319,Mean L3 in anterior corona radiata on FA skeleton (left),Mean L3,1909
25318,Mean L3 in anterior corona radiata on FA skeleton (right),Mean L3,1910
25313,Mean L3 in anterior limb of internal capsule on FA skeleton (left),Mean L3,1911
25312,Mean L3 in anterior limb of internal capsule on FA skeleton (right),Mean L3,1912
25299,Mean L3 in body of corpus callosum on FA skeleton,Mean L3,1913
25311,Mean L3 in cerebral peduncle on FA skeleton (left),Mean L3,1914
25310,Mean L3 in cerebral peduncle on FA skeleton (right),Mean L3,1915
25331,Mean L3 in cingulum cingulate gyrus on FA skeleton (left),Mean L3,1916
25330,Mean L3 in cingulum cingulate gyrus on FA skeleton (right),Mean L3,1917
25333,Mean L3 in cingulum hippocampus on FA skeleton (left),Mean L3,1918
25332,Mean L3 in cingulum hippocampus on FA skeleton (right),Mean L3,1919
25303,Mean L3 in corticospinal tract on FA skeleton (left),Mean L3,1920
25302,Mean L3 in corticospinal tract on FA skeleton (right),Mean L3,1921
25329,Mean L3 in external capsule on FA skeleton (left),Mean L3,1922
25328,Mean L3 in external capsule on FA skeleton (right),Mean L3,1923
25335,Mean L3 in fornix cres+stria terminalis on FA skeleton (left),Mean L3,1924
25334,Mean L3 in fornix cres+stria terminalis on FA skeleton (right),Mean L3,1925
25301,Mean L3 in fornix on FA skeleton,Mean L3,1926
25298,Mean L3 in genu of corpus callosum on FA skeleton,Mean L3,1927
25307,Mean L3 in inferior cerebellar peduncle on FA skeleton (left),Mean L3,1928
25306,Mean L3 in inferior cerebellar peduncle on FA skeleton (right),Mean L3,1929
25305,Mean L3 in medial lemniscus on FA skeleton (left),Mean L3,1930
25304,Mean L3 in medial lemniscus on FA skeleton (right),Mean L3,1931
25296,Mean L3 in middle cerebellar peduncle on FA skeleton,Mean L3,1932
25297,Mean L3 in pontine crossing tract on FA skeleton,Mean L3,1933
25323,Mean L3 in posterior corona radiata on FA skeleton (left),Mean L3,1934
25322,Mean L3 in posterior corona radiata on FA skeleton (right),Mean L3,1935
25315,Mean L3 in posterior limb of internal capsule on FA skeleton (left),Mean L3,1936
25314,Mean L3 in posterior limb of internal capsule on FA skeleton (right),Mean L3,1937
25325,Mean L3 in posterior thalamic radiation on FA skeleton (left),Mean L3,1938
25324,Mean L3 in posterior thalamic radiation on FA skeleton (right),Mean L3,1939
25317,Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),Mean L3,1940
25316,Mean L3 in retrolenticular part of internal capsule on FA skeleton (right),Mean L3,1941
25327,Mean L3 in sagittal stratum on FA skeleton (left),Mean L3,1942
25326,Mean L3 in sagittal stratum on FA skeleton (right),Mean L3,1943
25300,Mean L3 in splenium of corpus callosum on FA skeleton,Mean L3,1944
25309,Mean L3 in superior cerebellar peduncle on FA skeleton (left),Mean L3,1945
25308,Mean L3 in superior cerebellar peduncle on FA skeleton (right),Mean L3,1946
25321,Mean L3 in superior corona radiata on FA skeleton (left),Mean L3,1947
25320,Mean L3 in superior corona radiata on FA skeleton (right),Mean L3,1948
25339,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),Mean L3,1949
25338,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),Mean L3,1950
25337,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),Mean L3,1951
25336,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),Mean L3,1952
25343,Mean L3 in tapetum on FA skeleton (left),Mean L3,1953
25342,Mean L3 in tapetum on FA skeleton (right),Mean L3,1954
25341,Mean L3 in uncinate fasciculus on FA skeleton (left),Mean L3,1955
25340,Mean L3 in uncinate fasciculus on FA skeleton (right),Mean L3,1956
25127,Mean MD in anterior corona radiata on FA skeleton (left),Mean MD,1957
25126,Mean MD in anterior corona radiata on FA skeleton (right),Mean MD,1958
25121,Mean MD in anterior limb of internal capsule on FA skeleton (left),Mean MD,1959
25120,Mean MD in anterior limb of internal capsule on FA skeleton (right),Mean MD,1960
25107,Mean MD in body of corpus callosum on FA skeleton,Mean MD,1961
25119,Mean MD in cerebral peduncle on FA skeleton (left),Mean MD,1962
25118,Mean MD in cerebral peduncle on FA skeleton (right),Mean MD,1963
25139,Mean MD in cingulum cingulate gyrus on FA skeleton (left),Mean MD,1964
25138,Mean MD in cingulum cingulate gyrus on FA skeleton (right),Mean MD,1965
25141,Mean MD in cingulum hippocampus on FA skeleton (left),Mean MD,1966
25140,Mean MD in cingulum hippocampus on FA skeleton (right),Mean MD,1967
25111,Mean MD in corticospinal tract on FA skeleton (left),Mean MD,1968
25110,Mean MD in corticospinal tract on FA skeleton (right),Mean MD,1969
25137,Mean MD in external capsule on FA skeleton (left),Mean MD,1970
25136,Mean MD in external capsule on FA skeleton (right),Mean MD,1971
25143,Mean MD in fornix cres+stria terminalis on FA skeleton (left),Mean MD,1972
25142,Mean MD in fornix cres+stria terminalis on FA skeleton (right),Mean MD,1973
25109,Mean MD in fornix on FA skeleton,Mean MD,1974
25106,Mean MD in genu of corpus callosum on FA skeleton,Mean MD,1975
25115,Mean MD in inferior cerebellar peduncle on FA skeleton (left),Mean MD,1976
25114,Mean MD in inferior cerebellar peduncle on FA skeleton (right),Mean MD,1977
25113,Mean MD in medial lemniscus on FA skeleton (left),Mean MD,1978
25112,Mean MD in medial lemniscus on FA skeleton (right),Mean MD,1979
25104,Mean MD in middle cerebellar peduncle on FA skeleton,Mean MD,1980
25105,Mean MD in pontine crossing tract on FA skeleton,Mean MD,1981
25131,Mean MD in posterior corona radiata on FA skeleton (left),Mean MD,1982
25130,Mean MD in posterior corona radiata on FA skeleton (right),Mean MD,1983
25123,Mean MD in posterior limb of internal capsule on FA skeleton (left),Mean MD,1984
25122,Mean MD in posterior limb of internal capsule on FA skeleton (right),Mean MD,1985
25133,Mean MD in posterior thalamic radiation on FA skeleton (left),Mean MD,1986
25132,Mean MD in posterior thalamic radiation on FA skeleton (right),Mean MD,1987
25125,Mean MD in retrolenticular part of internal capsule on FA skeleton (left),Mean MD,1988
25124,Mean MD in retrolenticular part of internal capsule on FA skeleton (right),Mean MD,1989
25135,Mean MD in sagittal stratum on FA skeleton (left),Mean MD,1990
25134,Mean MD in sagittal stratum on FA skeleton (right),Mean MD,1991
25108,Mean MD in splenium of corpus callosum on FA skeleton,Mean MD,1992
25117,Mean MD in superior cerebellar peduncle on FA skeleton (left),Mean MD,1993
25116,Mean MD in superior cerebellar peduncle on FA skeleton (right),Mean MD,1994
25129,Mean MD in superior corona radiata on FA skeleton (left),Mean MD,1995
25128,Mean MD in superior corona radiata on FA skeleton (right),Mean MD,1996
25147,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left),Mean MD,1997
25146,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right),Mean MD,1998
25145,Mean MD in superior longitudinal fasciculus on FA skeleton (left),Mean MD,1999
25144,Mean MD in superior longitudinal fasciculus on FA skeleton (right),Mean MD,2000
25151,Mean MD in tapetum on FA skeleton (left),Mean MD,2001
25150,Mean MD in tapetum on FA skeleton (right),Mean MD,2002
25149,Mean MD in uncinate fasciculus on FA skeleton (left),Mean MD,2003
25148,Mean MD in uncinate fasciculus on FA skeleton (right),Mean MD,2004
25175,Mean MO in anterior corona radiata on FA skeleton (left),Mean MO,2005
25174,Mean MO in anterior corona radiata on FA skeleton (right),Mean MO,2006
25169,Mean MO in anterior limb of internal capsule on FA skeleton (left),Mean MO,2007
25168,Mean MO in anterior limb of internal capsule on FA skeleton (right),Mean MO,2008
25155,Mean MO in body of corpus callosum on FA skeleton,Mean MO,2009
25167,Mean MO in cerebral peduncle on FA skeleton (left),Mean MO,2010
25166,Mean MO in cerebral peduncle on FA skeleton (right),Mean MO,2011
25187,Mean MO in cingulum cingulate gyrus on FA skeleton (left),Mean MO,2012
25186,Mean MO in cingulum cingulate gyrus on FA skeleton (right),Mean MO,2013
25189,Mean MO in cingulum hippocampus on FA skeleton (left),Mean MO,2014
25188,Mean MO in cingulum hippocampus on FA skeleton (right),Mean MO,2015
25159,Mean MO in corticospinal tract on FA skeleton (left),Mean MO,2016
25158,Mean MO in corticospinal tract on FA skeleton (right),Mean MO,2017
25185,Mean MO in external capsule on FA skeleton (left),Mean MO,2018
25184,Mean MO in external capsule on FA skeleton (right),Mean MO,2019
25191,Mean MO in fornix cres+stria terminalis on FA skeleton (left),Mean MO,2020
25190,Mean MO in fornix cres+stria terminalis on FA skeleton (right),Mean MO,2021
25157,Mean MO in fornix on FA skeleton,Mean MO,2022
25154,Mean MO in genu of corpus callosum on FA skeleton,Mean MO,2023
25163,Mean MO in inferior cerebellar peduncle on FA skeleton (left),Mean MO,2024
25162,Mean MO in inferior cerebellar peduncle on FA skeleton (right),Mean MO,2025
25161,Mean MO in medial lemniscus on FA skeleton (left),Mean MO,2026
25160,Mean MO in medial lemniscus on FA skeleton (right),Mean MO,2027
25152,Mean MO in middle cerebellar peduncle on FA skeleton,Mean MO,2028
25153,Mean MO in pontine crossing tract on FA skeleton,Mean MO,2029
25179,Mean MO in posterior corona radiata on FA skeleton (left),Mean MO,2030
25178,Mean MO in posterior corona radiata on FA skeleton (right),Mean MO,2031
25171,Mean MO in posterior limb of internal capsule on FA skeleton (left),Mean MO,2032
25170,Mean MO in posterior limb of internal capsule on FA skeleton (right),Mean MO,2033
25181,Mean MO in posterior thalamic radiation on FA skeleton (left),Mean MO,2034
25180,Mean MO in posterior thalamic radiation on FA skeleton (right),Mean MO,2035
25173,Mean MO in retrolenticular part of internal capsule on FA skeleton (left),Mean MO,2036
25172,Mean MO in retrolenticular part of internal capsule on FA skeleton (right),Mean MO,2037
25183,Mean MO in sagittal stratum on FA skeleton (left),Mean MO,2038
25182,Mean MO in sagittal stratum on FA skeleton (right),Mean MO,2039
25156,Mean MO in splenium of corpus callosum on FA skeleton,Mean MO,2040
25165,Mean MO in superior cerebellar peduncle on FA skeleton (left),Mean MO,2041
25164,Mean MO in superior cerebellar peduncle on FA skeleton (right),Mean MO,2042
25177,Mean MO in superior corona radiata on FA skeleton (left),Mean MO,2043
25176,Mean MO in superior corona radiata on FA skeleton (right),Mean MO,2044
25195,Mean MO in superior fronto-occipital fasciculus on FA skeleton (left),Mean MO,2045
25194,Mean MO in superior fronto-occipital fasciculus on FA skeleton (right),Mean MO,2046
25193,Mean MO in superior longitudinal fasciculus on FA skeleton (left),Mean MO,2047
25192,Mean MO in superior longitudinal fasciculus on FA skeleton (right),Mean MO,2048
25199,Mean MO in tapetum on FA skeleton (left),Mean MO,2049
25198,Mean MO in tapetum on FA skeleton (right),Mean MO,2050
25197,Mean MO in uncinate fasciculus on FA skeleton (left),Mean MO,2051
25196,Mean MO in uncinate fasciculus on FA skeleton (right),Mean MO,2052
25415,Mean OD in anterior corona radiata on FA skeleton (left),Mean OD,2053
25414,Mean OD in anterior corona radiata on FA skeleton (right),Mean OD,2054
25409,Mean OD in anterior limb of internal capsule on FA skeleton (left),Mean OD,2055
25408,Mean OD in anterior limb of internal capsule on FA skeleton (right),Mean OD,2056
25395,Mean OD in body of corpus callosum on FA skeleton,Mean OD,2057
25407,Mean OD in cerebral peduncle on FA skeleton (left),Mean OD,2058
25406,Mean OD in cerebral peduncle on FA skeleton (right),Mean OD,2059
25427,Mean OD in cingulum cingulate gyrus on FA skeleton (left),Mean OD,2060
25426,Mean OD in cingulum cingulate gyrus on FA skeleton (right),Mean OD,2061
25429,Mean OD in cingulum hippocampus on FA skeleton (left),Mean OD,2062
25428,Mean OD in cingulum hippocampus on FA skeleton (right),Mean OD,2063
25399,Mean OD in corticospinal tract on FA skeleton (left),Mean OD,2064
25398,Mean OD in corticospinal tract on FA skeleton (right),Mean OD,2065
25425,Mean OD in external capsule on FA skeleton (left),Mean OD,2066
25424,Mean OD in external capsule on FA skeleton (right),Mean OD,2067
25431,Mean OD in fornix cres+stria terminalis on FA skeleton (left),Mean OD,2068
25430,Mean OD in fornix cres+stria terminalis on FA skeleton (right),Mean OD,2069
25397,Mean OD in fornix on FA skeleton,Mean OD,2070
25394,Mean OD in genu of corpus callosum on FA skeleton,Mean OD,2071
25403,Mean OD in inferior cerebellar peduncle on FA skeleton (left),Mean OD,2072
25402,Mean OD in inferior cerebellar peduncle on FA skeleton (right),Mean OD,2073
25401,Mean OD in medial lemniscus on FA skeleton (left),Mean OD,2074
25400,Mean OD in medial lemniscus on FA skeleton (right),Mean OD,2075
25392,Mean OD in middle cerebellar peduncle on FA skeleton,Mean OD,2076
25393,Mean OD in pontine crossing tract on FA skeleton,Mean OD,2077
25419,Mean OD in posterior corona radiata on FA skeleton (left),Mean OD,2078
25418,Mean OD in posterior corona radiata on FA skeleton (right),Mean OD,2079
25411,Mean OD in posterior limb of internal capsule on FA skeleton (left),Mean OD,2080
25410,Mean OD in posterior limb of internal capsule on FA skeleton (right),Mean OD,2081
25421,Mean OD in posterior thalamic radiation on FA skeleton (left),Mean OD,2082
25420,Mean OD in posterior thalamic radiation on FA skeleton (right),Mean OD,2083
25413,Mean OD in retrolenticular part of internal capsule on FA skeleton (left),Mean OD,2084
25412,Mean OD in retrolenticular part of internal capsule on FA skeleton (right),Mean OD,2085
25423,Mean OD in sagittal stratum on FA skeleton (left),Mean OD,2086
25422,Mean OD in sagittal stratum on FA skeleton (right),Mean OD,2087
25396,Mean OD in splenium of corpus callosum on FA skeleton,Mean OD,2088
25405,Mean OD in superior cerebellar peduncle on FA skeleton (left),Mean OD,2089
25404,Mean OD in superior cerebellar peduncle on FA skeleton (right),Mean OD,2090
25417,Mean OD in superior corona radiata on FA skeleton (left),Mean OD,2091
25416,Mean OD in superior corona radiata on FA skeleton (right),Mean OD,2092
25435,Mean OD in superior fronto-occipital fasciculus on FA skeleton (left),Mean OD,2093
25434,Mean OD in superior fronto-occipital fasciculus on FA skeleton (right),Mean OD,2094
25433,Mean OD in superior longitudinal fasciculus on FA skeleton (left),Mean OD,2095
25432,Mean OD in superior longitudinal fasciculus on FA skeleton (right),Mean OD,2096
25439,Mean OD in tapetum on FA skeleton (left),Mean OD,2097
25438,Mean OD in tapetum on FA skeleton (right),Mean OD,2098
25437,Mean OD in uncinate fasciculus on FA skeleton (left),Mean OD,2099
25436,Mean OD in uncinate fasciculus on FA skeleton (right),Mean OD,2100
