Pheno,UKB ID,IDP short name,,Units,Type,Cat.,Category,modality,Category name,IDP description,N(disc),Npar(disc),Nnonpar(disc),N(rep),Npar(rep),Nnonpar(rep),N(all),Npar(all),Nnonpar(all),Heritability,Heritability(SE)
1,25001,IDP_T1_SIENAX_peripheral_grey_normalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.59E-01,2.21E-02
2,25002,IDP_T1_SIENAX_peripheral_grey_unnormalised_volume,,mm3,float,1,,,regional and tissue volume,Volume of peripheral cortical grey matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.57E-01,2.17E-02
3,25003,IDP_T1_SIENAX_CSF_normalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.88E-01,2.38E-02
4,25004,IDP_T1_SIENAX_CSF_unnormalised_volume,,mm3,float,1,,,regional and tissue volume,Volume of ventricular cerebrospinal fluid (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.88E-01,2.39E-02
5,25005,IDP_T1_SIENAX_grey_normalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of grey matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.31E-01,2.19E-02
6,25006,IDP_T1_SIENAX_grey_unnormalised_volume,,mm3,float,1,,,regional and tissue volume,Volume of grey matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.27E-01,2.14E-02
7,25007,IDP_T1_SIENAX_white_normalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of white matter (from T1 brain image, normalised for head size)",22138,22117,22126,11086,-,-,33224,33197,33209,2.91E-01,2.53E-02
8,25008,IDP_T1_SIENAX_white_unnormalised_volume,,mm3,float,1,,,regional and tissue volume,Volume of white matter (from T1 brain image),22138,22117,22126,11086,-,-,33224,33197,33209,2.89E-01,2.55E-02
9,25009,IDP_T1_SIENAX_brain-normalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image, normalised for head size",22138,22117,22126,11086,-,-,33224,33197,33209,2.51E-01,2.42E-02
10,25010,IDP_T1_SIENAX_brain-unnormalised_volume,,mm3,float,1,,,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image",22138,22117,22126,11086,-,-,33224,33197,33209,2.49E-01,2.40E-02
11,25011,IDP_T1_FIRST_left_thalamus_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left thalamus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.57E-01,2.38E-02
12,25012,IDP_T1_FIRST_right_thalamus_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right thalamus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.60E-01,2.33E-02
13,25013,IDP_T1_FIRST_left_caudate_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left caudate (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,3.45E-01,2.56E-02
14,25014,IDP_T1_FIRST_right_caudate_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right caudate (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,3.47E-01,2.60E-02
15,25015,IDP_T1_FIRST_left_putamen_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left putamen (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.53E-01,2.45E-02
16,25016,IDP_T1_FIRST_right_putamen_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right putamen (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.88E-01,2.60E-02
17,25017,IDP_T1_FIRST_left_pallidum_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left pallidum (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.14E-01,2.18E-02
18,25018,IDP_T1_FIRST_right_pallidum_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right pallidum (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,2.31E-01,2.30E-02
19,25019,IDP_T1_FIRST_left_hippocampus_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left hippocampus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.71E-01,1.89E-02
20,25020,IDP_T1_FIRST_right_hippocampus_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right hippocampus (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.67E-01,1.96E-02
21,25021,IDP_T1_FIRST_left_amygdala_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left amygdala (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.09E-01,1.58E-02
22,25022,IDP_T1_FIRST_right_amygdala_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right amygdala (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,9.61E-02,1.70E-02
23,25023,IDP_T1_FIRST_left_accumbens_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of left accumbens (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.51E-01,1.63E-02
24,25024,IDP_T1_FIRST_right_accumbens_volume,,mm3,float,1,Volume,S,regional and tissue volume,Volume of right accumbens (from T1 brain image),22128,22107,22116,11083,-,-,33211,33184,33196,1.78E-01,1.85E-02
25,25025,IDP_T1_FIRST_brain_stem+4th_ventricle_volume,,mm3,float,1,,,regional and tissue volume,Volume of brain stem + 4th ventricle (from T1 brain image),22128,22107,22116,11083,11077,11080,33211,33184,33196,2.77E-01,2.50E-02
1438,25026,IDP_SWI_T2star_left_thalamus,,ms,float,7,,,regional T2*,Median T2star in left thalamus (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,9.41E-02,2.21E-02
1439,25027,IDP_SWI_T2star_right_thalamus,,ms,float,7,,,regional T2*,Median T2star in right thalamus (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,1.44E-01,2.65E-02
1440,25028,IDP_SWI_T2star_left_caudate,,ms,float,7,,,regional T2*,Median T2star in left caudate (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,1.99E-01,3.02E-02
1441,25029,IDP_SWI_T2star_right_caudate,,ms,float,7,,,regional T2*,Median T2star in right caudate (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,2.07E-01,3.11E-02
1442,25030,IDP_SWI_T2star_left_putamen,,ms,float,7,,,regional T2*,Median T2star in left putamen (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,3.02E-01,3.51E-02
1443,25031,IDP_SWI_T2star_right_putamen,,ms,float,7,,,regional T2*,Median T2star in right putamen (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,3.05E-01,3.40E-02
1444,25032,IDP_SWI_T2star_left_pallidum,,ms,float,7,,,regional T2*,Median T2star in left pallidum (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,2.74E-01,3.42E-02
1445,25033,IDP_SWI_T2star_right_pallidum,,ms,float,7,,,regional T2*,Median T2star in right pallidum (from SWI data),20043,20025,20032,10013,10007,10010,30056,30032,30042,2.69E-01,3.60E-02
1446,25034,IDP_SWI_T2star_left_hippocampus,,ms,float,7,,,regional T2*,Median T2star in left hippocampus (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,1.16E-01,1.54E-02
1447,25035,IDP_SWI_T2star_right_hippocampus,,ms,float,7,,,regional T2*,Median T2star in right hippocampus (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,9.74E-02,1.61E-02
1448,25036,IDP_SWI_T2star_left_amygdala,,ms,float,7,,,regional T2*,Median T2star in left amygdala (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,8.41E-02,1.63E-02
1449,25037,IDP_SWI_T2star_right_amygdala,,ms,float,7,,,regional T2*,Median T2star in right amygdala (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,6.75E-02,1.54E-02
1450,25038,IDP_SWI_T2star_left_accumbens,,ms,float,7,,,regional T2*,Median T2star in left accumbens (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,1.33E-01,1.86E-02
1451,25039,IDP_SWI_T2star_right_accumbens,,ms,float,7,,,regional T2*,Median T2star in right accumbens (from SWI data),20043,20025,20032,10013,-,-,30056,30032,30042,1.07E-01,1.89E-02
2127,25040,IDP_tfMRI_median_BOLD_shapes,,%,float,14,,,tfMRI activation,Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for shapes activation (in task fMRI data),18412,18401,18406,9251,9247,9248,27663,27648,27654,3.37E-02,1.68E-02
2129,25042,IDP_tfMRI_median_zstat_shapes,,Z,float,14,,,tfMRI activation,Median z-statistic (in group-defined mask) for shapes activation (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,3.29E-02,1.83E-02
2131,25044,IDP_tfMRI_median_BOLD_faces,,%,float,14,,,tfMRI activation,Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces activation (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,2.69E-02,1.81E-02
2133,25046,IDP_tfMRI_median_zstat_faces,,Z,float,14,,,tfMRI activation,Median z-statistic (in group-defined mask) for faces activation (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,2.39E-02,1.76E-02
2135,25048,IDP_tfMRI_median_BOLD_faces-shapes,,%,float,14,,,tfMRI activation,Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces-shapes contrast (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,6.85E-02,1.61E-02
2137,25050,IDP_tfMRI_median_zstat_faces-shapes,,Z,float,14,,,tfMRI activation,Median z-statistic (in group-defined mask) for faces-shapes contrast (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,4.78E-02,1.55E-02
2139,25052,IDP_tfMRI_median_BOLD_faces-shapes_amygdala,,%,float,14,,,tfMRI activation,Median BOLD (blood-oxygen-level dependent) effect (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,5.24E-02,1.63E-02
2141,25054,IDP_tfMRI_median_zstat_faces-shapes_amygdala,,Z,float,14,,,tfMRI activation,Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data),18412,18401,18406,9251,-,-,27663,27648,27654,5.97E-02,1.60E-02
1452,25056,IDP_dMRI_TBSS_FA_Middle_cerebellar_peduncle,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.44E-01,2.28E-02
1453,25057,IDP_dMRI_TBSS_FA_Pontine_crossing_tract,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.74E-01,2.20E-02
1454,25058,IDP_dMRI_TBSS_FA_Genu_of_corpus_callosum,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.19E-01,2.53E-02
1455,25059,IDP_dMRI_TBSS_FA_Body_of_corpus_callosum,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.02E-01,2.66E-02
1456,25060,IDP_dMRI_TBSS_FA_Splenium_of_corpus_callosum,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.42E-01,2.56E-02
1457,25061,IDP_dMRI_TBSS_FA_Fornix,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.02E-01,2.15E-02
1458,25062,IDP_dMRI_TBSS_FA_Corticospinal_tract_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in corticospinal tract (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.78E-01,2.07E-02
1459,25063,IDP_dMRI_TBSS_FA_Corticospinal_tract_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in corticospinal tract (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.67E-01,1.94E-02
1460,25064,IDP_dMRI_TBSS_FA_Medial_lemniscus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in medial lemniscus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.12E-01,1.94E-02
1461,25065,IDP_dMRI_TBSS_FA_Medial_lemniscus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in medial lemniscus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.03E-01,1.94E-02
1462,25066,IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in inferior cerebellar peduncle (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.64E-01,2.28E-02
1463,25067,IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in inferior cerebellar peduncle (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.30E-01,1.99E-02
1464,25068,IDP_dMRI_TBSS_FA_Superior_cerebellar_peduncle_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior cerebellar peduncle (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.09E-01,2.33E-02
1465,25069,IDP_dMRI_TBSS_FA_Superior_cerebellar_peduncle_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior cerebellar peduncle (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.01E-01,2.26E-02
1466,25070,IDP_dMRI_TBSS_FA_Cerebral_peduncle_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cerebral peduncle (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.64E-01,1.86E-02
1467,25071,IDP_dMRI_TBSS_FA_Cerebral_peduncle_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cerebral peduncle (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.48E-01,1.98E-02
1468,25072,IDP_dMRI_TBSS_FA_Anterior_limb_of_internal_capsule_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in anterior limb of internal capsule (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.87E-01,2.29E-02
1469,25073,IDP_dMRI_TBSS_FA_Anterior_limb_of_internal_capsule_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in anterior limb of internal capsule (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.66E-01,2.33E-02
1470,25074,IDP_dMRI_TBSS_FA_Posterior_limb_of_internal_capsule_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior limb of internal capsule (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.84E-01,2.33E-02
1471,25075,IDP_dMRI_TBSS_FA_Posterior_limb_of_internal_capsule_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior limb of internal capsule (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.93E-01,2.47E-02
1472,25076,IDP_dMRI_TBSS_FA_Retrolenticular_part_of_internal_capsule_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.59E-01,2.30E-02
1473,25077,IDP_dMRI_TBSS_FA_Retrolenticular_part_of_internal_capsule_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in retrolenticular part of internal capsule (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.37E-01,2.35E-02
1474,25078,IDP_dMRI_TBSS_FA_Anterior_corona_radiata_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in anterior corona radiata (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,3.32E-01,2.50E-02
1475,25079,IDP_dMRI_TBSS_FA_Anterior_corona_radiata_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in anterior corona radiata (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.20E-01,2.42E-02
1476,25080,IDP_dMRI_TBSS_FA_Superior_corona_radiata_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior corona radiata (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.80E-01,2.13E-02
1477,25081,IDP_dMRI_TBSS_FA_Superior_corona_radiata_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior corona radiata (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.75E-01,2.26E-02
1478,25082,IDP_dMRI_TBSS_FA_Posterior_corona_radiata_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior corona radiata (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,2.83E-01,2.34E-02
1479,25083,IDP_dMRI_TBSS_FA_Posterior_corona_radiata_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior corona radiata (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,2.75E-01,2.42E-02
1480,25084,IDP_dMRI_TBSS_FA_Posterior_thalamic_radiation_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior thalamic radiation (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.39E-01,2.40E-02
1481,25085,IDP_dMRI_TBSS_FA_Posterior_thalamic_radiation_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in posterior thalamic radiation (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.45E-01,2.46E-02
1482,25086,IDP_dMRI_TBSS_FA_Sagittal_stratum_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in sagittal stratum (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,2.53E-01,2.51E-02
1483,25087,IDP_dMRI_TBSS_FA_Sagittal_stratum_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in sagittal stratum (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.44E-01,2.67E-02
1484,25088,IDP_dMRI_TBSS_FA_External_capsule_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in external capsule (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.87E-01,2.56E-02
1485,25089,IDP_dMRI_TBSS_FA_External_capsule_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in external capsule (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.86E-01,2.48E-02
1486,25090,IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cingulum cingulate gyrus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.96E-01,2.52E-02
1487,25091,IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cingulum cingulate gyrus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.05E-01,2.43E-02
1488,25092,IDP_dMRI_TBSS_FA_Cingulum_hippocampus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cingulum hippocampus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.35E-01,2.15E-02
1489,25093,IDP_dMRI_TBSS_FA_Cingulum_hippocampus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in cingulum hippocampus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.39E-01,1.95E-02
1490,25094,IDP_dMRI_TBSS_FA_Fornix_cres+Stria_terminalis_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in fornix cres+stria terminalis (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.58E-01,2.26E-02
1491,25095,IDP_dMRI_TBSS_FA_Fornix_cres+Stria_terminalis_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in fornix cres+stria terminalis (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.49E-01,2.30E-02
1492,25096,IDP_dMRI_TBSS_FA_Superior_longitudinal_fasciculus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior longitudinal fasciculus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,3.06E-01,2.43E-02
1493,25097,IDP_dMRI_TBSS_FA_Superior_longitudinal_fasciculus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior longitudinal fasciculus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.96E-01,2.43E-02
1494,25098,IDP_dMRI_TBSS_FA_Superior_fronto-occipital_fasciculus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.72E-01,2.13E-02
1495,25099,IDP_dMRI_TBSS_FA_Superior_fronto-occipital_fasciculus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.58E-01,2.18E-02
1496,25100,IDP_dMRI_TBSS_FA_Uncinate_fasciculus_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in uncinate fasciculus (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.02E-01,3.03E-02
1497,25101,IDP_dMRI_TBSS_FA_Uncinate_fasciculus_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in uncinate fasciculus (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.19E-01,3.13E-02
1498,25102,IDP_dMRI_TBSS_FA_Tapetum_R,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.36E-01,2.12E-02
1499,25103,IDP_dMRI_TBSS_FA_Tapetum_L,,AU,float,8,Mean FA,D,WM tract FA,Mean FA (fractional anisotropy) in tapetum (left) on FA skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.33E-01,1.93E-02
1602,25104,IDP_dMRI_TBSS_MD_Middle_cerebellar_peduncle,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in middle cerebellar peduncle on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.97E-01,2.03E-02
1603,25105,IDP_dMRI_TBSS_MD_Pontine_crossing_tract,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in pontine crossing tract on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.02E-01,2.04E-02
1604,25106,IDP_dMRI_TBSS_MD_Genu_of_corpus_callosum,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in genu of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,3.44E-01,2.84E-02
1605,25107,IDP_dMRI_TBSS_MD_Body_of_corpus_callosum,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in body of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,10490,10493,31356,31332,31341,3.21E-01,2.78E-02
1606,25108,IDP_dMRI_TBSS_MD_Splenium_of_corpus_callosum,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.79E-01,2.57E-02
1607,25109,IDP_dMRI_TBSS_MD_Fornix,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in fornix on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,2.32E-01,2.33E-02
1608,25110,IDP_dMRI_TBSS_MD_Corticospinal_tract_R,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in corticospinal tract (right) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.89E-01,2.05E-02
1609,25111,IDP_dMRI_TBSS_MD_Corticospinal_tract_L,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in corticospinal tract (left) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.61E-01,1.92E-02
1610,25112,IDP_dMRI_TBSS_MD_Medial_lemniscus_R,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in medial lemniscus (right) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.45E-01,1.96E-02
1611,25113,IDP_dMRI_TBSS_MD_Medial_lemniscus_L,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in medial lemniscus (left) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.32E-01,1.84E-02
1612,25114,IDP_dMRI_TBSS_MD_Inferior_cerebellar_peduncle_R,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in inferior cerebellar peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.62E-01,1.97E-02
1613,25115,IDP_dMRI_TBSS_MD_Inferior_cerebellar_peduncle_L,,AU,float,10,Mean MD,D,WM tract diffusivity,Mean MD (mean diffusivity) in inferior cerebellar peduncle (left) on FA (fractional anisotropy) skeleton (from dMRI data),20860,20842,20848,10496,-,-,31356,31332,31341,1.50E-01,2.13E-02
